#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,domain,entity_id,friendly_name,source,unit_of_measurement,version
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:02:00Z,38.63333333333333,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:04:00Z,38.650000000000006,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:05:00Z,38.55,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:06:00Z,38.5,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:09:00Z,38.4,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:10:00Z,38.45,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:23:00Z,38.349999999999994,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:34:00Z,38.46666666666667,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:43:00Z,39.18,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:44:00Z,40.28333333333333,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:45:00Z,41.233333333333334,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:46:00Z,41.8,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:47:00Z,42.25,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T07:48:00Z,42.5,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
