Index ID,Unique ID,Entity ID,Entity Filter,Entity Type,Entity Name,Entity Friendly Name,Entity Domain,Entity Group,Entity Location,Entity Topic
63,anode__office_Dpower__energy_Dconsumption__electricity__home,office_power_energy_consumption,Graph,Continuous,Office Power Energy Consumption,Office Power,Energy Consumption,Electricity,Home,haas/sensor/config/sensor/anode/anode__office_Dpower__energy_Dconsumption__electricity__home/config
64,anode__bathroom_Dtowelrails__energy_Dconsumption__electricity__home,bathroom_towelrails_energy_consumption,Graph,Continuous,Bathroom Towelrails Energy Consumption,Bathroom Towelrails,Energy Consumption,Electricity,Home,haas/sensor/config/sensor/anode/anode__bathroom_Dtowelrails__energy_Dconsumption__electricity__home/config
9999999,anode__base__cloud__season__home,base_cloud,Hidden,Continuous,Base Cloud,Base,Cloud,Season,Home,haas/sensor/config/sensor/anode/anode__base__cloud__season__home/config
9999999,anode__forecast__description__conditions__home,forecast_description,Hidden,Continuous,Forecast Description,Forecast,Description,Conditions,Home,haas/sensor/config/sensor/anode/anode__forecast__description__conditions__home/config
9999999,anode__rack__dew_Dpoint__conditions__home,rack_dew_point,Hidden,Continuous,Rack Dew Point,Rack,Dew Point,Conditions,Home,haas/sensor/config/sensor/anode/anode__rack__dew_Dpoint__conditions__home/config
9999999,anode__roof__dew_Dpoint__conditions__roof,roof_dew_point,Hidden,Continuous,Roof Dew Point,Roof,Dew Point,Conditions,Roof,haas/sensor/config/sensor/anode/anode__roof__dew_Dpoint__conditions__roof/config
9999999,anode__utility__dew_Dpoint__conditions__utility,utility_dew_point,Hidden,Continuous,Utility Dew Point,Utility,Dew Point,Conditions,Utility,haas/sensor/config/sensor/anode/anode__utility__dew_Dpoint__conditions__utility/config
9999999,anode__office_Dlights__energy_Dconsumption__electricity__home,office_lights_energy_consumption,Hidden,Continuous,Office Lights Energy Consumption,Office Lights,Energy Consumption,Electricity,Home,haas/sensor/config/sensor/anode/anode__office_Dlights__energy_Dconsumption__electricity__home/config
9999999,anode__edwin_Dlights__energy_Dconsumption__electricity__home,edwin_lights_energy_consumption,Hidden,Continuous,Edwin Lights Energy Consumption,Edwin Lights,Energy Consumption,Electricity,Home,haas/sensor/config/sensor/anode/anode__edwin_Dlights__energy_Dconsumption__electricity__home/config
9999999,anode__kitchen_Dlights__energy_Dconsumption__electricity__home,kitchen_lights_energy_consumption,Hidden,Continuous,Kitchen Lights Energy Consumption,Kitchen Lights,Energy Consumption,Electricity,Home,haas/sensor/config/sensor/anode/anode__kitchen_Dlights__energy_Dconsumption__electricity__home/config
9999999,anode__laundry_Dlights__energy_Dconsumption__electricity__home,laundry_lights_energy_consumption,Hidden,Continuous,Laundry Lights Energy Consumption,Laundry Lights,Energy Consumption,Electricity,Home,haas/sensor/config/sensor/anode/anode__laundry_Dlights__energy_Dconsumption__electricity__home/config
9999999,anode__servers__energy_Dconsumption__electricity__home,servers_energy_consumption,Hidden,Continuous,Servers Energy Consumption,Servers,Energy Consumption,Electricity,Home,haas/sensor/config/sensor/anode/anode__servers__energy_Dconsumption__electricity__home/config
9999999,anode__lounge_Dlights__energy_Dconsumption__electricity__home,lounge_lights_energy_consumption,Hidden,Continuous,Lounge Lights Energy Consumption,Lounge Lights,Energy Consumption,Electricity,Home,haas/sensor/config/sensor/anode/anode__lounge_Dlights__energy_Dconsumption__electricity__home/config
9999999,anode__kitchenfan__energy_Dconsumption__electricity__home,kitchenfan_energy_consumption,Hidden,Continuous,Kitchenfan Energy Consumption,Kitchenfan,Energy Consumption,Electricity,Home,haas/sensor/config/sensor/anode/anode__kitchenfan__energy_Dconsumption__electricity__home/config
9999999,anode__bathroom_Dlights__energy_Dconsumption__electricity__home,bathroom_lights_energy_consumption,Hidden,Continuous,Bathroom Lights Energy Consumption,Bathroom Lights,Energy Consumption,Electricity,Home,haas/sensor/config/sensor/anode/anode__bathroom_Dlights__energy_Dconsumption__electricity__home/config
9999999,anode__fridge__energy_Dconsumption__electricity__home,fridge_energy_consumption,Hidden,Continuous,Fridge Energy Consumption,Fridge,Energy Consumption,Electricity,Home,haas/sensor/config/sensor/anode/anode__fridge__energy_Dconsumption__electricity__home/config
9999999,anode__wardrobe_Dlights__energy_Dconsumption__electricity__home,wardrobe_lights_energy_consumption,Hidden,Continuous,Wardrobe Lights Energy Consumption,Wardrobe Lights,Energy Consumption,Electricity,Home,haas/sensor/config/sensor/anode/anode__wardrobe_Dlights__energy_Dconsumption__electricity__home/config
9999999,anode__towelrails__energy_Dconsumption__electricity__home,towelrails_energy_consumption,Hidden,Continuous,Towelrails Energy Consumption,Towelrails,Energy Consumption,Electricity,Home,haas/sensor/config/sensor/anode/anode__towelrails__energy_Dconsumption__electricity__home/config
9999999,anode__parents_Dlights__energy_Dconsumption__electricity__home,parents_lights_energy_consumption,Hidden,Continuous,Parents Lights Energy Consumption,Parents Lights,Energy Consumption,Electricity,Home,haas/sensor/config/sensor/anode/anode__parents_Dlights__energy_Dconsumption__electricity__home/config
9999999,anode__ensuite_Dlights__energy_Dconsumption__electricity__home,ensuite_lights_energy_consumption,Hidden,Continuous,Ensuite Lights Energy Consumption,Ensuite Lights,Energy Consumption,Electricity,Home,haas/sensor/config/sensor/anode/anode__ensuite_Dlights__energy_Dconsumption__electricity__home/config
9999999,anode__lamp_Dlights__energy_Dconsumption__electricity__home,lamp_lights_energy_consumption,Hidden,Continuous,Lamp Lights Energy Consumption,Lamp Lights,Energy Consumption,Electricity,Home,haas/sensor/config/sensor/anode/anode__lamp_Dlights__energy_Dconsumption__electricity__home/config
9999999,anode__dining_Dlights__energy_Dconsumption__electricity__home,dining_lights_energy_consumption,Hidden,Continuous,Dining Lights Energy Consumption,Dining Lights,Energy Consumption,Electricity,Home,haas/sensor/config/sensor/anode/anode__dining_Dlights__energy_Dconsumption__electricity__home/config
9999999,anode__hallway_Dlights__energy_Dconsumption__electricity__home,hallway_lights_energy_consumption,Hidden,Continuous,Hallway Lights Energy Consumption,Hallway Lights,Energy Consumption,Electricity,Home,haas/sensor/config/sensor/anode/anode__hallway_Dlights__energy_Dconsumption__electricity__home/config
9999999,anode__hallway_Dswitch__energy_Dconsumption__electricity__home,hallway_switch_energy_consumption,Hidden,Continuous,Hallway Switch Energy Consumption,Hallway Switch,Energy Consumption,Electricity,Home,haas/sensor/config/sensor/anode/anode__hallway_Dswitch__energy_Dconsumption__electricity__home/config
