Source,Date,GBP/AUD,USD/AUD,SGD/AUD
RBA,1984-04-14,0.6401,0.9175,1.9113
RBA,1984-04-15,0.6401,0.9175,1.9113
RBA,1984-04-16,0.6451,0.9184,1.9153
RBA,1984-04-17,0.6478,0.9212,1.9198
RBA,1984-04-18,0.6487,0.9231,1.9233
RBA,1984-04-19,0.6504,0.923,1.9238
RBA,1984-04-20,0.6504,0.923,1.9238
RBA,1984-04-21,0.6504,0.923,1.9238
RBA,1984-04-22,0.6504,0.923,1.9238
RBA,1984-04-23,0.6504,0.923,1.9238
RBA,1984-04-24,0.6505,0.9208,1.9185
RBA,1984-04-25,0.6505,0.9208,1.9185
RBA,1984-04-26,0.6512,0.9207,1.918
RBA,1984-04-27,0.6567,0.9213,1.9217
RBA,1984-04-28,0.6567,0.9213,1.9217
RBA,1984-04-29,0.6567,0.9213,1.9217
RBA,1984-04-30,0.6568,0.9201,1.921
RBA,1984-05-01,0.6601,0.9228,1.9263
RBA,1984-05-02,0.6617,0.9253,1.9329
RBA,1984-05-03,0.6629,0.9309,1.943
RBA,1984-05-04,0.6547,0.927,1.9339
RBA,1984-05-05,0.6547,0.927,1.9339
RBA,1984-05-06,0.6547,0.927,1.9339
RBA,1984-05-07,0.6591,0.9198,1.9238
RBA,1984-05-08,0.6598,0.9144,1.9158
RBA,1984-05-09,0.6557,0.9082,1.9033
RBA,1984-05-10,0.6555,0.9044,1.8996
RBA,1984-05-11,0.6535,0.904,1.8997
RBA,1984-05-12,0.6535,0.904,1.8997
RBA,1984-05-13,0.6535,0.904,1.8997
RBA,1984-05-14,0.65,0.8983,1.891
RBA,1984-05-15,0.6473,0.8991,1.8926
RBA,1984-05-16,0.6493,0.902,1.8976
RBA,1984-05-17,0.6447,0.9001,1.8937
RBA,1984-05-18,0.6426,0.8929,1.8815
RBA,1984-05-19,0.6426,0.8929,1.8815
RBA,1984-05-20,0.6426,0.8929,1.8815
RBA,1984-05-21,0.6401,0.8914,1.8849
RBA,1984-05-22,0.6456,0.8988,1.8957
RBA,1984-05-23,0.6509,0.9032,1.9014
RBA,1984-05-24,0.6552,0.9009,1.8973
RBA,1984-05-25,0.6505,0.9019,1.8986
RBA,1984-05-26,0.6505,0.9019,1.8986
RBA,1984-05-27,0.6505,0.9019,1.8986
RBA,1984-05-28,0.6492,0.8989,1.8928
RBA,1984-05-29,0.6492,0.8972,1.8902
RBA,1984-05-30,0.6482,0.897,1.8903
RBA,1984-05-31,0.6503,0.8992,1.8935
RBA,1984-06-01,0.6482,0.8996,1.8934
RBA,1984-06-02,0.6482,0.8996,1.8934
RBA,1984-06-03,0.6482,0.8996,1.8934
RBA,1984-06-04,0.6442,0.9044,1.8956
RBA,1984-06-05,0.6421,0.9004,1.8856
RBA,1984-06-06,0.6414,0.8941,1.8816
RBA,1984-06-07,0.6414,0.8972,1.8875
RBA,1984-06-08,0.6428,0.8984,1.8902
RBA,1984-06-09,0.6428,0.8984,1.8902
RBA,1984-06-10,0.6428,0.8984,1.8902
RBA,1984-06-11,0.6428,0.8984,1.8902
RBA,1984-06-12,0.6459,0.8964,1.8889
RBA,1984-06-13,0.6464,0.8954,1.8897
RBA,1984-06-14,0.6446,0.8936,1.8806
RBA,1984-06-15,0.6409,0.8879,1.8686
RBA,1984-06-16,0.6409,0.8879,1.8686
RBA,1984-06-17,0.6409,0.8879,1.8686
RBA,1984-06-18,0.64,0.8828,1.8618
RBA,1984-06-19,0.6419,0.8835,1.8647
RBA,1984-06-20,0.6418,0.8843,1.8652
RBA,1984-06-21,0.6385,0.8728,1.845
RBA,1984-06-22,0.6352,0.8668,1.8348
RBA,1984-06-23,0.6352,0.8668,1.8348
RBA,1984-06-24,0.6352,0.8668,1.8348
RBA,1984-06-25,0.6307,0.8557,1.8205
RBA,1984-06-26,0.6337,0.8568,1.8222
RBA,1984-06-27,0.6379,0.8643,1.8366
RBA,1984-06-28,0.6401,0.8614,1.8337
RBA,1984-06-29,0.6378,0.8613,1.8372
RBA,1984-06-30,0.6378,0.8613,1.8372
RBA,1984-07-01,0.6378,0.8613,1.8372
RBA,1984-07-02,0.6349,0.8567,1.8325
RBA,1984-07-03,0.6395,0.8573,1.8363
RBA,1984-07-04,0.6402,0.8562,1.8355
RBA,1984-07-05,0.6398,0.8518,1.8246
RBA,1984-07-06,0.6388,0.8402,1.8017
RBA,1984-07-07,0.6388,0.8402,1.8017
RBA,1984-07-08,0.6388,0.8402,1.8017
RBA,1984-07-09,0.6372,0.8346,1.7925
RBA,1984-07-10,0.6335,0.8309,1.7828
RBA,1984-07-11,0.6314,0.8224,1.766
RBA,1984-07-12,0.6317,0.8258,1.7744
RBA,1984-07-13,0.6379,0.84,1.8024
RBA,1984-07-14,0.6379,0.84,1.8024
RBA,1984-07-15,0.6379,0.84,1.8024
RBA,1984-07-16,0.637,0.8396,1.7983
RBA,1984-07-17,0.6289,0.8339,1.7875
RBA,1984-07-18,0.6289,0.8273,1.7788
RBA,1984-07-19,0.6295,0.8289,1.7813
RBA,1984-07-20,0.6254,0.8307,1.7831
RBA,1984-07-21,0.6254,0.8307,1.7831
RBA,1984-07-22,0.6254,0.8307,1.7831
RBA,1984-07-23,0.6226,0.8232,1.774
RBA,1984-07-24,0.6227,0.8231,1.7747
RBA,1984-07-25,0.6266,0.829,1.7862
RBA,1984-07-26,0.6286,0.8402,1.8005
RBA,1984-07-27,0.6345,0.8388,1.7967
RBA,1984-07-28,0.6345,0.8388,1.7967
RBA,1984-07-29,0.6345,0.8388,1.7967
RBA,1984-07-30,0.6328,0.8278,1.784
RBA,1984-07-31,0.636,0.83,1.787
RBA,1984-08-01,0.6394,0.8305,1.7943
RBA,1984-08-02,0.638,0.8347,1.7979
RBA,1984-08-03,0.6377,0.8381,1.8023
RBA,1984-08-04,0.6377,0.8381,1.8023
RBA,1984-08-05,0.6377,0.8381,1.8023
RBA,1984-08-06,0.6356,0.8468,1.8126
RBA,1984-08-07,0.6372,0.8382,1.8005
RBA,1984-08-08,0.6451,0.8427,1.8145
RBA,1984-08-09,0.6412,0.8434,1.8184
RBA,1984-08-10,0.64,0.8437,1.8097
RBA,1984-08-11,0.64,0.8437,1.8097
RBA,1984-08-12,0.64,0.8437,1.8097
RBA,1984-08-13,0.6435,0.8407,1.8088
RBA,1984-08-14,0.6397,0.841,1.805
RBA,1984-08-15,0.6371,0.8432,1.8049
RBA,1984-08-16,0.6379,0.8445,1.8064
RBA,1984-08-17,0.6402,0.8474,1.8147
RBA,1984-08-18,0.6402,0.8474,1.8147
RBA,1984-08-19,0.6402,0.8474,1.8147
RBA,1984-08-20,0.646,0.8549,1.8295
RBA,1984-08-21,0.6486,0.8535,1.8286
RBA,1984-08-22,0.6524,0.8542,1.8341
RBA,1984-08-23,0.6511,0.8546,1.8312
RBA,1984-08-24,0.6525,0.8563,1.8351
RBA,1984-08-25,0.6525,0.8563,1.8351
RBA,1984-08-26,0.6525,0.8563,1.8351
RBA,1984-08-27,0.6529,0.8523,1.8274
RBA,1984-08-28,0.6511,0.8497,1.8256
RBA,1984-08-29,0.651,0.8529,1.8367
RBA,1984-08-30,0.6484,0.8519,1.8343
RBA,1984-08-31,0.6472,0.8488,1.8304
RBA,1984-09-01,0.6472,0.8488,1.8304
RBA,1984-09-02,0.6472,0.8488,1.8304
RBA,1984-09-03,0.6464,0.8455,1.8242
RBA,1984-09-04,0.6471,0.8417,1.8164
RBA,1984-09-05,0.6462,0.8318,1.7958
RBA,1984-09-06,0.6486,0.8331,1.8003
RBA,1984-09-07,0.6498,0.8301,1.7926
RBA,1984-09-08,0.6498,0.8301,1.7926
RBA,1984-09-09,0.6498,0.8301,1.7926
RBA,1984-09-10,0.6508,0.8276,1.7893
RBA,1984-09-11,0.6533,0.8343,1.8042
RBA,1984-09-12,0.6542,0.8363,1.8075
RBA,1984-09-13,0.6535,0.8325,1.8007
RBA,1984-09-14,0.6536,0.8325,1.8007
RBA,1984-09-15,0.6536,0.8325,1.8007
RBA,1984-09-16,0.6536,0.8325,1.8007
RBA,1984-09-17,0.6568,0.8283,1.7938
RBA,1984-09-18,0.6678,0.8291,1.7987
RBA,1984-09-19,0.6755,0.8321,1.8032
RBA,1984-09-20,0.6714,0.8311,1.7967
RBA,1984-09-21,0.6792,0.8283,1.7967
RBA,1984-09-22,0.6792,0.8283,1.7967
RBA,1984-09-23,0.6792,0.8283,1.7967
RBA,1984-09-24,0.6679,0.8316,1.795
RBA,1984-09-25,0.6668,0.8315,1.7959
RBA,1984-09-26,0.6718,0.8288,1.7973
RBA,1984-09-27,0.6702,0.8328,1.8018
RBA,1984-09-28,0.6696,0.833,1.8022
RBA,1984-09-29,0.6696,0.833,1.8022
RBA,1984-09-30,0.6696,0.833,1.8022
RBA,1984-10-01,0.6743,0.8304,1.7988
RBA,1984-10-02,0.6714,0.8312,1.8
RBA,1984-10-03,0.6634,0.8332,1.8005
RBA,1984-10-04,0.6701,0.8328,1.8028
RBA,1984-10-05,0.6678,0.8337,1.8056
RBA,1984-10-06,0.6678,0.8337,1.8056
RBA,1984-10-07,0.6678,0.8337,1.8056
RBA,1984-10-08,0.6724,0.8337,1.8043
RBA,1984-10-09,0.6748,0.8337,1.805
RBA,1984-10-10,0.6793,0.8315,1.8023
RBA,1984-10-11,0.6776,0.831,1.8006
RBA,1984-10-12,0.6804,0.831,1.8037
RBA,1984-10-13,0.6804,0.831,1.8037
RBA,1984-10-14,0.6804,0.831,1.8037
RBA,1984-10-15,0.6818,0.8302,1.8015
RBA,1984-10-16,0.6891,0.8299,1.8022
RBA,1984-10-17,0.6964,0.8297,1.8021
RBA,1984-10-18,0.6967,0.8315,1.8017
RBA,1984-10-19,0.7006,0.8333,1.8048
RBA,1984-10-20,0.7006,0.8333,1.8048
RBA,1984-10-21,0.7006,0.8333,1.8048
RBA,1984-10-22,0.6987,0.8352,1.8095
RBA,1984-10-23,0.6959,0.8354,1.8091
RBA,1984-10-24,0.6923,0.8436,1.8266
RBA,1984-10-25,0.6924,0.8483,1.8353
RBA,1984-10-26,0.6954,0.8488,1.836
RBA,1984-10-27,0.6954,0.8488,1.836
RBA,1984-10-28,0.6954,0.8488,1.836
RBA,1984-10-29,0.6939,0.8422,1.8231
RBA,1984-10-30,0.6978,0.8422,1.8231
RBA,1984-10-31,0.6984,0.8487,1.8349
RBA,1984-11-01,0.6986,0.8516,1.8386
RBA,1984-11-02,0.6928,0.8581,1.8477
RBA,1984-11-03,0.6928,0.8581,1.8477
RBA,1984-11-04,0.6928,0.8581,1.8477
RBA,1984-11-05,0.6894,0.8614,1.85
RBA,1984-11-06,0.6793,0.8621,1.8518
RBA,1984-11-07,0.6757,0.8638,1.8539
RBA,1984-11-08,0.6783,0.8646,1.8567
RBA,1984-11-09,0.6803,0.8625,1.8518
RBA,1984-11-10,0.6803,0.8625,1.8518
RBA,1984-11-11,0.6803,0.8625,1.8518
RBA,1984-11-12,0.6846,0.8616,1.8481
RBA,1984-11-13,0.6797,0.8632,1.8514
RBA,1984-11-14,0.6827,0.8606,1.8475
RBA,1984-11-15,0.6813,0.8593,1.8453
RBA,1984-11-16,0.6836,0.8583,1.8423
RBA,1984-11-17,0.6836,0.8583,1.8423
RBA,1984-11-18,0.6836,0.8583,1.8423
RBA,1984-11-19,0.6875,0.8603,1.849
RBA,1984-11-20,0.6877,0.8593,1.8487
RBA,1984-11-21,0.6922,0.8565,1.8458
RBA,1984-11-22,0.6928,0.8595,1.8479
RBA,1984-11-23,0.698,0.8578,1.8494
RBA,1984-11-24,0.698,0.8578,1.8494
RBA,1984-11-25,0.698,0.8578,1.8494
RBA,1984-11-26,0.7057,0.8542,1.8502
RBA,1984-11-27,0.7099,0.8551,1.8519
RBA,1984-11-28,0.7133,0.8577,1.8595
RBA,1984-11-29,0.717,0.8602,1.8642
RBA,1984-11-30,0.7163,0.8596,1.8658
RBA,1984-12-01,0.7163,0.8596,1.8658
RBA,1984-12-02,0.7163,0.8596,1.8658
RBA,1984-12-03,0.7159,0.8558,1.8578
RBA,1984-12-04,0.7119,0.8541,1.8541
RBA,1984-12-05,0.7055,0.8545,1.8504
RBA,1984-12-06,0.7092,0.8512,1.8467
RBA,1984-12-07,0.7045,0.8506,1.8445
RBA,1984-12-08,0.7045,0.8506,1.8445
RBA,1984-12-09,0.7045,0.8506,1.8445
RBA,1984-12-10,0.7013,0.8434,1.8299
RBA,1984-12-11,0.7022,0.8442,1.8313
RBA,1984-12-12,0.7074,0.8478,1.8393
RBA,1984-12-13,0.7066,0.8456,1.8352
RBA,1984-12-14,0.7042,0.8404,1.8253
RBA,1984-12-15,0.7042,0.8404,1.8253
RBA,1984-12-16,0.7042,0.8404,1.8253
RBA,1984-12-17,0.7037,0.8382,1.8222
RBA,1984-12-18,0.704,0.8353,1.8178
RBA,1984-12-19,0.7041,0.8355,1.8147
RBA,1984-12-20,0.7114,0.8312,1.8079
RBA,1984-12-21,0.7124,0.8328,1.8103
RBA,1984-12-22,0.7124,0.8328,1.8103
RBA,1984-12-23,0.7124,0.8328,1.8103
RBA,1984-12-24,0.7143,0.835,1.8153
RBA,1984-12-25,0.7143,0.835,1.8153
RBA,1984-12-26,0.7143,0.835,1.8153
RBA,1984-12-27,0.7128,0.8303,1.8076
RBA,1984-12-28,0.713,0.8278,1.804
RBA,1984-12-29,0.713,0.8278,1.804
RBA,1984-12-30,0.713,0.8278,1.804
RBA,1984-12-31,0.713,0.8278,1.804
RBA,1985-01-01,0.713,0.8278,1.804
RBA,1985-01-02,0.7095,0.8193,1.7914
RBA,1985-01-03,0.7069,0.8083,1.7745
RBA,1985-01-04,0.7115,0.8187,1.7999
RBA,1985-01-05,0.7115,0.8187,1.7999
RBA,1985-01-06,0.7115,0.8187,1.7999
RBA,1985-01-07,0.7077,0.8103,1.7883
RBA,1985-01-08,0.7074,0.8156,1.7935
RBA,1985-01-09,0.7113,0.8099,1.7846
RBA,1985-01-10,0.7143,0.8176,1.7981
RBA,1985-01-11,0.7292,0.8222,1.8084
RBA,1985-01-12,0.7292,0.8222,1.8084
RBA,1985-01-13,0.7292,0.8222,1.8084
RBA,1985-01-14,0.7408,0.8217,1.8077
RBA,1985-01-15,0.7311,0.8173,1.7993
RBA,1985-01-16,0.7329,0.8187,1.8007
RBA,1985-01-17,0.7271,0.8195,1.7999
RBA,1985-01-18,0.7251,0.8176,1.7967
RBA,1985-01-19,0.7251,0.8176,1.7967
RBA,1985-01-20,0.7251,0.8176,1.7967
RBA,1985-01-21,0.7252,0.8169,1.7955
RBA,1985-01-22,0.7243,0.8123,1.7871
RBA,1985-01-23,0.7235,0.8121,1.7873
RBA,1985-01-24,0.73,0.8137,1.7918
RBA,1985-01-25,0.7285,0.8137,1.7921
RBA,1985-01-26,0.7285,0.8137,1.7921
RBA,1985-01-27,0.7285,0.8137,1.7921
RBA,1985-01-28,0.7285,0.8137,1.7921
RBA,1985-01-29,0.7329,0.8168,1.801
RBA,1985-01-30,0.7296,0.8151,1.7999
RBA,1985-01-31,0.7218,0.815,1.8007
RBA,1985-02-01,0.7193,0.813,1.7973
RBA,1985-02-02,0.7193,0.813,1.7973
RBA,1985-02-03,0.7193,0.813,1.7973
RBA,1985-02-04,0.7098,0.7937,1.7642
RBA,1985-02-05,0.7033,0.7849,1.7582
RBA,1985-02-06,0.7026,0.7813,1.75
RBA,1985-02-07,0.6905,0.7677,1.7221
RBA,1985-02-08,0.6958,0.7753,1.7491
RBA,1985-02-09,0.6958,0.7753,1.7491
RBA,1985-02-10,0.6958,0.7753,1.7491
RBA,1985-02-11,0.692,0.7653,1.7334
RBA,1985-02-12,0.6845,0.7509,1.7012
RBA,1985-02-13,0.68,0.7415,1.6814
RBA,1985-02-14,0.6803,0.7411,1.6767
RBA,1985-02-15,0.6759,0.7405,1.6696
RBA,1985-02-16,0.6759,0.7405,1.6696
RBA,1985-02-17,0.6759,0.7405,1.6696
RBA,1985-02-18,0.6722,0.7447,1.6625
RBA,1985-02-19,0.6504,0.7115,1.6009
RBA,1985-02-20,0.6316,0.6885,1.5543
RBA,1985-02-21,0.6472,0.7055,1.5891
RBA,1985-02-22,0.6573,0.7115,1.6155
RBA,1985-02-23,0.6573,0.7115,1.6155
RBA,1985-02-24,0.6573,0.7115,1.6155
RBA,1985-02-25,0.6544,0.7035,1.6015
RBA,1985-02-26,0.6626,0.7,1.595
RBA,1985-02-27,0.6646,0.6975,1.5877
RBA,1985-02-28,0.6563,0.7138,1.6132
RBA,1985-03-01,0.66,0.7063,1.6047
RBA,1985-03-02,0.66,0.7063,1.6047
RBA,1985-03-03,0.66,0.7063,1.6047
RBA,1985-03-04,0.6526,0.709,1.6112
RBA,1985-03-05,0.6523,0.6963,1.5857
RBA,1985-03-06,0.6492,0.6836,1.5596
RBA,1985-03-07,0.6456,0.6886,1.569
RBA,1985-03-08,0.6487,0.6899,1.5721
RBA,1985-03-09,0.6487,0.6899,1.5721
RBA,1985-03-10,0.6487,0.6899,1.5721
RBA,1985-03-11,0.6487,0.6952,1.5826
RBA,1985-03-12,0.6399,0.7026,1.5884
RBA,1985-03-13,0.6392,0.6964,1.5794
RBA,1985-03-14,0.6343,0.6892,1.5638
RBA,1985-03-15,0.634,0.6849,1.5551
RBA,1985-03-16,0.634,0.6849,1.5551
RBA,1985-03-17,0.634,0.6849,1.5551
RBA,1985-03-18,0.6328,0.6882,1.5636
RBA,1985-03-19,0.6245,0.6926,1.5677
RBA,1985-03-20,0.6077,0.7037,1.5872
RBA,1985-03-21,0.6046,0.6929,1.5615
RBA,1985-03-22,0.5914,0.6998,1.5739
RBA,1985-03-23,0.5914,0.6998,1.5739
RBA,1985-03-24,0.5914,0.6998,1.5739
RBA,1985-03-25,0.5964,0.6954,1.5601
RBA,1985-03-26,0.595,0.6958,1.5701
RBA,1985-03-27,0.5875,0.7029,1.5713
RBA,1985-03-28,0.5742,0.7065,1.5697
RBA,1985-03-29,0.5641,0.7051,1.5571
RBA,1985-03-30,0.5641,0.7051,1.5571
RBA,1985-03-31,0.5641,0.7051,1.5571
RBA,1985-04-01,0.5615,0.7004,1.5451
RBA,1985-04-02,0.5532,0.6708,1.4969
RBA,1985-04-03,0.5425,0.6665,1.4798
RBA,1985-04-04,0.5421,0.655,1.4567
RBA,1985-04-05,0.5421,0.655,1.4567
RBA,1985-04-06,0.5421,0.655,1.4567
RBA,1985-04-07,0.5421,0.655,1.4567
RBA,1985-04-08,0.5421,0.655,1.4567
RBA,1985-04-09,0.5466,0.6665,1.4842
RBA,1985-04-10,0.5508,0.6638,1.4795
RBA,1985-04-11,0.547,0.6687,1.4912
RBA,1985-04-12,0.5347,0.6702,1.4795
RBA,1985-04-13,0.5347,0.6702,1.4795
RBA,1985-04-14,0.5347,0.6702,1.4795
RBA,1985-04-15,0.5334,0.6633,1.467
RBA,1985-04-16,0.5249,0.6695,1.4746
RBA,1985-04-17,0.5149,0.6649,1.4615
RBA,1985-04-18,0.5028,0.6385,1.4162
RBA,1985-04-19,0.4929,0.6395,1.4091
RBA,1985-04-20,0.4929,0.6395,1.4091
RBA,1985-04-21,0.4929,0.6395,1.4091
RBA,1985-04-22,0.4898,0.6308,1.3876
RBA,1985-04-23,0.5022,0.6365,1.404
RBA,1985-04-24,0.5245,0.6565,1.4558
RBA,1985-04-25,0.5245,0.6565,1.4558
RBA,1985-04-26,0.5437,0.6545,1.4584
RBA,1985-04-27,0.5437,0.6545,1.4584
RBA,1985-04-28,0.5437,0.6545,1.4584
RBA,1985-04-29,0.5432,0.658,1.4636
RBA,1985-04-30,0.5229,0.6523,1.4458
RBA,1985-05-01,0.5284,0.6503,1.4424
RBA,1985-05-02,0.5301,0.65,1.4482
RBA,1985-05-03,0.5431,0.6615,1.4798
RBA,1985-05-04,0.5431,0.6615,1.4798
RBA,1985-05-05,0.5431,0.6615,1.4798
RBA,1985-05-06,0.5595,0.6655,1.4944
RBA,1985-05-07,0.5591,0.6632,1.4851
RBA,1985-05-08,0.5615,0.6833,1.5203
RBA,1985-05-09,0.5643,0.693,1.5457
RBA,1985-05-10,0.564,0.6887,1.5341
RBA,1985-05-11,0.564,0.6887,1.5341
RBA,1985-05-12,0.564,0.6887,1.5341
RBA,1985-05-13,0.5579,0.6957,1.5434
RBA,1985-05-14,0.5589,0.703,1.5564
RBA,1985-05-15,0.5467,0.6935,1.533
RBA,1985-05-16,0.5405,0.6815,1.5075
RBA,1985-05-17,0.5421,0.681,1.5125
RBA,1985-05-18,0.5421,0.681,1.5125
RBA,1985-05-19,0.5421,0.681,1.5125
RBA,1985-05-20,0.5368,0.6935,1.5297
RBA,1985-05-21,0.5426,0.6923,1.5265
RBA,1985-05-22,0.5446,0.6928,1.534
RBA,1985-05-23,0.5436,0.6818,1.5146
RBA,1985-05-24,0.5375,0.6807,1.5118
RBA,1985-05-25,0.5375,0.6807,1.5118
RBA,1985-05-26,0.5375,0.6807,1.5118
RBA,1985-05-27,0.5306,0.6657,1.4822
RBA,1985-05-28,0.5235,0.6555,1.4607
RBA,1985-05-29,0.5244,0.6593,1.4689
RBA,1985-05-30,0.5218,0.665,1.4803
RBA,1985-05-31,0.5159,0.658,1.4647
RBA,1985-06-01,0.5159,0.658,1.4647
RBA,1985-06-02,0.5159,0.658,1.4647
RBA,1985-06-03,0.5124,0.6618,1.473
RBA,1985-06-04,0.5154,0.6625,1.4651
