Id,URL,Host,Path,Status,Status Code,Method,Content Type,Client Name,Client Address,Remote Address,Request Start Time,Request End Time,Request Duration (ms),Response Start Time,Response End Time,Response Duration (ms),Duration (ms),Time Complete,Request Body Size (bytes),Response Body Size (bytes),Compressed Request Size (bytes),Compressed Request Size (bytes),Comment,Server IP Address,Server Certificate - Common Name,Server Certificate - DNSs,GraphQL Query Name
454,https://lg.dwprod.co,lg.dwprod.co,,Completed,200,CONNECT,,10.0.4.165,10.0.4.165:57313,lg.dwprod.co - 13.32.127.89:443,12:27:11.142,12:27:28.315,17172,12:27:28.315,12:27:28.315,0,17172,12:27:28.315,0,0,0,0,,lg.dwprod.co - 13.32.127.89:443,lg.dwprod.co,lg.dwprod.co,
460,https://lg.dwprod.co/user/auth,lg.dwprod.co,/user/auth,Completed,200,POST,application/json,10.0.4.165,10.0.4.165:57317,lg.dwprod.co - 13.32.127.89:443,12:27:52.074,12:27:52.273,199,12:27:52.454,12:27:52.454,0,380,12:27:52.454,196,989,0,0,,lg.dwprod.co - 13.32.127.89:443,lg.dwprod.co,lg.dwprod.co,
466,https://lg.dwprod.co/user/redeem-invite,lg.dwprod.co,/user/redeem-invite,Error,400,POST,application/json,10.0.4.165,10.0.4.165:57317,lg.dwprod.co - 13.32.127.89:443,12:28:09.944,12:28:09.954,10,12:28:11.840,12:28:11.840,0,1895,12:28:11.840,15,14,0,0,,lg.dwprod.co - 13.32.127.89:443,lg.dwprod.co,lg.dwprod.co,
