index,entity_status,device_via_device,entity_namespace,unique_id,name,friendly_name,entity_domain,entity_group,entity_automation,display_mode,display_type,timeseries_mode,compensation_curve,state_class,unit_of_measurement,device_class,icon,sample_period,force_update,unique_id_device,discovery_topic,state_topic,value_template,qos,device_name,device_sw_version,device_identifiers,device_model,device_manufacturer,device_suggested_area,connection_vlan,connection_mac,connection_ip,device_connections,device_configuration_url
2500,Enabled,Internet,sensor,network_internet_uptime,network_internet_uptime,Up,Internet,Diagnostics,,Table,,,,measurement,d,,mdi:cloud-check,200,false,uptime_s,haas/entity/sensor/internet/network_internet_uptime/config,haas/entity/sensor/internet/network_internet_uptime,{{ value | float(0) / 60 / 60 / 24 | round(0) }},1,internet-docker-service,,,,JaneAndGraham,Home,,,,,https://unifi.janeandgraham.com
2501,Enabled,Internet,sensor,network_internet_ping,network_internet_ping,Ping,Internet,Diagnostics,,Table,,,,measurement,ms,,mdi:cloud-refresh,200,false,ping_min_ms,haas/entity/sensor/internet/network_internet_ping/config,haas/entity/sensor/internet/network_internet_ping,{{ value | float(0) | round(0) }},1,internet-docker-service,,,,JaneAndGraham,Home,,,,,https://unifi.janeandgraham.com
2502,Enabled,Internet,sensor,network_internet_upload,network_internet_upload,Upload,Internet,Diagnostics,,Table,,,,measurement,MB/s,,mdi:cloud-upload,200,false,upload_mbps,haas/entity/sensor/internet/network_internet_upload/config,haas/entity/sensor/internet/network_internet_upload,{{ value | float(0) | round(2) }},1,internet-docker-service,,,,JaneAndGraham,Home,,,,,https://unifi.janeandgraham.com
2503,Enabled,Internet,sensor,network_internet_download,network_internet_download,Download,Internet,Diagnostics,,Table,,,,measurement,MB/s,,mdi:cloud-download,200,false,download_mbps,haas/entity/sensor/internet/network_internet_download/config,haas/entity/sensor/internet/network_internet_download,{{ value | float(0) | round(2) }},1,internet-docker-service,,,,JaneAndGraham,Home,,,,,https://unifi.janeandgraham.com
