Index ID,Unique ID,Entity ID,Entity Filter,Entity Name,Entity Friendly Name,Entity Domain,Entity Group,Entity Location,Entity Topic
34,anode__hallway_Dlights__energy__consumption__home,hallway_lights_energy,Detail,Hallway Lights Energy,Hallway Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/anode__hallway_Dlights__energy__consumption__home/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Hallway Lights Energy"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__hallway_Dlights__energy__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__hallway_Dlights__energy__consumption__home""}"
35,anode__filter__energy__consumption__home,filter_energy,Detail,Filter Energy,Filter,Energy,Consumption,Home,haas/sensor/config/sensor/anode/anode__filter__energy__consumption__home/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Filter Energy"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__filter__energy__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__filter__energy__consumption__home""}"
36,anode__wardrobe_Dlights__energy__consumption__home,wardrobe_lights_energy,Detail,Wardrobe Lights Energy,Wardrobe Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/anode__wardrobe_Dlights__energy__consumption__home/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Wardrobe Lights Energy"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__wardrobe_Dlights__energy__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__wardrobe_Dlights__energy__consumption__home""}"
37,anode__freezer__energy__consumption__home,freezer_energy,Detail,Freezer Energy,Freezer,Energy,Consumption,Home,haas/sensor/config/sensor/anode/anode__freezer__energy__consumption__home/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Freezer Energy"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__freezer__energy__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__freezer__energy__consumption__home""}"
38,anode__servers__energy__consumption__home,servers_energy,Detail,Servers Energy,Servers,Energy,Consumption,Home,haas/sensor/config/sensor/anode/anode__servers__energy__consumption__home/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Servers Energy"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__servers__energy__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__servers__energy__consumption__home""}"
39,anode__laundry_Dlights__energy__consumption__home,laundry_lights_energy,Detail,Laundry Lights Energy,Laundry Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/anode__laundry_Dlights__energy__consumption__home/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Laundry Lights Energy"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__laundry_Dlights__energy__consumption__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__laundry_Dlights__energy__consumption__home""}"
40,anode__ada__health_Dindex__indoor__ada,ada_health_index,Detail,Ada Health Index,Ada,Health Index,Indoor,Ada,haas/sensor/config/sensor/anode/anode__ada__health_Dindex__indoor__ada/config,"{""unit_of_measurement"": ""scalar"", ""qos"": 1, ""name"": ""Ada Health Index"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ada__health_Dindex__indoor__ada/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ada__health_Dindex__indoor__ada""}"
41,anode__edwin__health_Dindex__indoor__edwin,edwin_health_index,Detail,Edwin Health Index,Edwin,Health Index,Indoor,Edwin,haas/sensor/config/sensor/anode/anode__edwin__health_Dindex__indoor__edwin/config,"{""unit_of_measurement"": ""scalar"", ""qos"": 1, ""name"": ""Edwin Health Index"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__edwin__health_Dindex__indoor__edwin/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__edwin__health_Dindex__indoor__edwin""}"
42,anode__laundry__health_Dindex__indoor__laundry,laundry_health_index,Detail,Laundry Health Index,Laundry,Health Index,Indoor,Laundry,haas/sensor/config/sensor/anode/anode__laundry__health_Dindex__indoor__laundry/config,"{""unit_of_measurement"": ""scalar"", ""qos"": 1, ""name"": ""Laundry Health Index"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__laundry__health_Dindex__indoor__laundry/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__laundry__health_Dindex__indoor__laundry""}"
43,anode__parents__health_Dindex__indoor__parents,parents_health_index,Detail,Parents Health Index,Parents,Health Index,Indoor,Parents,haas/sensor/config/sensor/anode/anode__parents__health_Dindex__indoor__parents/config,"{""unit_of_measurement"": ""scalar"", ""qos"": 1, ""name"": ""Parents Health Index"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__parents__health_Dindex__indoor__parents/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__parents__health_Dindex__indoor__parents""}"
44,anode__roof__heatindex__outdoor__roof,roof_heatindex,Detail,Roof Heatindex,Roof,Heatindex,Outdoor,Roof,haas/sensor/config/sensor/anode/anode__roof__heatindex__outdoor__roof/config,"{""unit_of_measurement"": ""scalar"", ""qos"": 1, ""name"": ""Roof Heatindex"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__roof__heatindex__outdoor__roof/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__roof__heatindex__outdoor__roof""}"
45,anode__ada__humidity__indoor__ada,ada_humidity,Detail,Ada Humidity,Ada,Humidity,Indoor,Ada,haas/sensor/config/sensor/anode/anode__ada__humidity__indoor__ada/config,"{""unit_of_measurement"": ""%"", ""qos"": 1, ""name"": ""Ada Humidity"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ada__humidity__indoor__ada/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ada__humidity__indoor__ada""}"
46,anode__basement__humidity__outdoor__basement,basement_humidity,Detail,Basement Humidity,Basement,Humidity,Outdoor,Basement,haas/sensor/config/sensor/anode/anode__basement__humidity__outdoor__basement/config,"{""unit_of_measurement"": ""%"", ""qos"": 1, ""name"": ""Basement Humidity"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__basement__humidity__outdoor__basement/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__basement__humidity__outdoor__basement""}"
47,anode__deck__humidity__outdoor__deck,deck_humidity,Detail,Deck Humidity,Deck,Humidity,Outdoor,Deck,haas/sensor/config/sensor/anode/anode__deck__humidity__outdoor__deck/config,"{""unit_of_measurement"": ""%"", ""qos"": 1, ""name"": ""Deck Humidity"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__deck__humidity__outdoor__deck/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__deck__humidity__outdoor__deck""}"
48,anode__dining__humidity__indoor__dining,dining_humidity,Detail,Dining Humidity,Dining,Humidity,Indoor,Dining,haas/sensor/config/sensor/anode/anode__dining__humidity__indoor__dining/config,"{""unit_of_measurement"": ""%"", ""qos"": 1, ""name"": ""Dining Humidity"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__dining__humidity__indoor__dining/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__dining__humidity__indoor__dining""}"
49,anode__edwin__humidity__indoor__edwin,edwin_humidity,Detail,Edwin Humidity,Edwin,Humidity,Indoor,Edwin,haas/sensor/config/sensor/anode/anode__edwin__humidity__indoor__edwin/config,"{""unit_of_measurement"": ""%"", ""qos"": 1, ""name"": ""Edwin Humidity"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__edwin__humidity__indoor__edwin/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__edwin__humidity__indoor__edwin""}"
50,anode__kitchen__humidity__indoor__kitchen,kitchen_humidity,Detail,Kitchen Humidity,Kitchen,Humidity,Indoor,Kitchen,haas/sensor/config/sensor/anode/anode__kitchen__humidity__indoor__kitchen/config,"{""unit_of_measurement"": ""%"", ""qos"": 1, ""name"": ""Kitchen Humidity"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__kitchen__humidity__indoor__kitchen/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__kitchen__humidity__indoor__kitchen""}"
51,anode__laundry__humidity__indoor__laundry,laundry_humidity,Detail,Laundry Humidity,Laundry,Humidity,Indoor,Laundry,haas/sensor/config/sensor/anode/anode__laundry__humidity__indoor__laundry/config,"{""unit_of_measurement"": ""%"", ""qos"": 1, ""name"": ""Laundry Humidity"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__laundry__humidity__indoor__laundry/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__laundry__humidity__indoor__laundry""}"
52,anode__lounge__humidity__indoor__lounge,lounge_humidity,Detail,Lounge Humidity,Lounge,Humidity,Indoor,Lounge,haas/sensor/config/sensor/anode/anode__lounge__humidity__indoor__lounge/config,"{""unit_of_measurement"": ""%"", ""qos"": 1, ""name"": ""Lounge Humidity"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__lounge__humidity__indoor__lounge/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__lounge__humidity__indoor__lounge""}"
53,anode__office__humidity__indoor__office,office_humidity,Detail,Office Humidity,Office,Humidity,Indoor,Office,haas/sensor/config/sensor/anode/anode__office__humidity__indoor__office/config,"{""unit_of_measurement"": ""%"", ""qos"": 1, ""name"": ""Office Humidity"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__office__humidity__indoor__office/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__office__humidity__indoor__office""}"
54,anode__pantry__humidity__indoor__pantry,pantry_humidity,Detail,Pantry Humidity,Pantry,Humidity,Indoor,Pantry,haas/sensor/config/sensor/anode/anode__pantry__humidity__indoor__pantry/config,"{""unit_of_measurement"": ""%"", ""qos"": 1, ""name"": ""Pantry Humidity"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__pantry__humidity__indoor__pantry/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__pantry__humidity__indoor__pantry""}"
55,anode__parents__humidity__indoor__parents,parents_humidity,Detail,Parents Humidity,Parents,Humidity,Indoor,Parents,haas/sensor/config/sensor/anode/anode__parents__humidity__indoor__parents/config,"{""unit_of_measurement"": ""%"", ""qos"": 1, ""name"": ""Parents Humidity"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__parents__humidity__indoor__parents/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__parents__humidity__indoor__parents""}"
56,anode__roof__humidity__outdoor__roof,roof_humidity,Detail,Roof Humidity,Roof,Humidity,Outdoor,Roof,haas/sensor/config/sensor/anode/anode__roof__humidity__outdoor__roof/config,"{""unit_of_measurement"": ""%"", ""qos"": 1, ""name"": ""Roof Humidity"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__roof__humidity__outdoor__roof/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__roof__humidity__outdoor__roof""}"
57,anode__utility__humidity__indoor__utility,utility_humidity,Detail,Utility Humidity,Utility,Humidity,Indoor,Utility,haas/sensor/config/sensor/anode/anode__utility__humidity__indoor__utility/config,"{""unit_of_measurement"": ""%"", ""qos"": 1, ""name"": ""Utility Humidity"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__utility__humidity__indoor__utility/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__utility__humidity__indoor__utility""}"
58,anode__ping_Dperth__internet__speed_Dtest__home,ping_perth_internet,Detail,Ping Perth Internet,Ping Perth,Internet,Speed Test,Home,haas/sensor/config/sensor/anode/anode__ping_Dperth__internet__speed_Dtest__home/config,"{""unit_of_measurement"": ""ms"", ""qos"": 1, ""name"": ""Ping Perth Internet"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ping_Dperth__internet__speed_Dtest__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ping_Dperth__internet__speed_Dtest__home""}"
59,anode__download_Dlondon__internet__speed_Dtest__home,download_london_internet,Detail,Download London Internet,Download London,Internet,Speed Test,Home,haas/sensor/config/sensor/anode/anode__download_Dlondon__internet__speed_Dtest__home/config,"{""unit_of_measurement"": ""MB/s"", ""qos"": 1, ""name"": ""Download London Internet"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__download_Dlondon__internet__speed_Dtest__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__download_Dlondon__internet__speed_Dtest__home""}"
60,anode__upload_Dnew_Dyork_Dcity__internet__speed_Dtest__home,upload_new_york_city_internet,Detail,Upload New York City Internet,Upload New York City,Internet,Speed Test,Home,haas/sensor/config/sensor/anode/anode__upload_Dnew_Dyork_Dcity__internet__speed_Dtest__home/config,"{""unit_of_measurement"": ""KB/s"", ""qos"": 1, ""name"": ""Upload New York City Internet"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__upload_Dnew_Dyork_Dcity__internet__speed_Dtest__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__upload_Dnew_Dyork_Dcity__internet__speed_Dtest__home""}"
61,anode__download_Dnew_Dyork_Dcity__internet__speed_Dtest__home,download_new_york_city_internet,Detail,Download New York City Internet,Download New York City,Internet,Speed Test,Home,haas/sensor/config/sensor/anode/anode__download_Dnew_Dyork_Dcity__internet__speed_Dtest__home/config,"{""unit_of_measurement"": ""MB/s"", ""qos"": 1, ""name"": ""Download New York City Internet"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__download_Dnew_Dyork_Dcity__internet__speed_Dtest__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__download_Dnew_Dyork_Dcity__internet__speed_Dtest__home""}"
62,anode__ping_Dlondon__internet__speed_Dtest__home,ping_london_internet,Detail,Ping London Internet,Ping London,Internet,Speed Test,Home,haas/sensor/config/sensor/anode/anode__ping_Dlondon__internet__speed_Dtest__home/config,"{""unit_of_measurement"": ""ms"", ""qos"": 1, ""name"": ""Ping London Internet"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ping_Dlondon__internet__speed_Dtest__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ping_Dlondon__internet__speed_Dtest__home""}"
63,anode__upload_Dlondon__internet__speed_Dtest__home,upload_london_internet,Detail,Upload London Internet,Upload London,Internet,Speed Test,Home,haas/sensor/config/sensor/anode/anode__upload_Dlondon__internet__speed_Dtest__home/config,"{""unit_of_measurement"": ""KB/s"", ""qos"": 1, ""name"": ""Upload London Internet"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__upload_Dlondon__internet__speed_Dtest__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__upload_Dlondon__internet__speed_Dtest__home""}"
64,anode__ping_Dnew_Dyork_Dcity__internet__speed_Dtest__home,ping_new_york_city_internet,Detail,Ping New York City Internet,Ping New York City,Internet,Speed Test,Home,haas/sensor/config/sensor/anode/anode__ping_Dnew_Dyork_Dcity__internet__speed_Dtest__home/config,"{""unit_of_measurement"": ""ms"", ""qos"": 1, ""name"": ""Ping New York City Internet"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ping_Dnew_Dyork_Dcity__internet__speed_Dtest__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ping_Dnew_Dyork_Dcity__internet__speed_Dtest__home""}"
65,anode__download_Dperth__internet__speed_Dtest__home,download_perth_internet,Detail,Download Perth Internet,Download Perth,Internet,Speed Test,Home,haas/sensor/config/sensor/anode/anode__download_Dperth__internet__speed_Dtest__home/config,"{""unit_of_measurement"": ""MB/s"", ""qos"": 1, ""name"": ""Download Perth Internet"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__download_Dperth__internet__speed_Dtest__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__download_Dperth__internet__speed_Dtest__home""}"
66,anode__upload_Dperth__internet__speed_Dtest__home,upload_perth_internet,Detail,Upload Perth Internet,Upload Perth,Internet,Speed Test,Home,haas/sensor/config/sensor/anode/anode__upload_Dperth__internet__speed_Dtest__home/config,"{""unit_of_measurement"": ""KB/s"", ""qos"": 1, ""name"": ""Upload Perth Internet"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__upload_Dperth__internet__speed_Dtest__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__upload_Dperth__internet__speed_Dtest__home""}"
67,anode__ada__noise__indoor__ada,ada_noise,Detail,Ada Noise,Ada,Noise,Indoor,Ada,haas/sensor/config/sensor/anode/anode__ada__noise__indoor__ada/config,"{""unit_of_measurement"": ""dB"", ""qos"": 1, ""name"": ""Ada Noise"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ada__noise__indoor__ada/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ada__noise__indoor__ada""}"
68,anode__edwin__noise__indoor__edwin,edwin_noise,Detail,Edwin Noise,Edwin,Noise,Indoor,Edwin,haas/sensor/config/sensor/anode/anode__edwin__noise__indoor__edwin/config,"{""unit_of_measurement"": ""dB"", ""qos"": 1, ""name"": ""Edwin Noise"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__edwin__noise__indoor__edwin/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__edwin__noise__indoor__edwin""}"
69,anode__kitchen__noise__indoor__kitchen,kitchen_noise,Detail,Kitchen Noise,Kitchen,Noise,Indoor,Kitchen,haas/sensor/config/sensor/anode/anode__kitchen__noise__indoor__kitchen/config,"{""unit_of_measurement"": ""dB"", ""qos"": 1, ""name"": ""Kitchen Noise"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__kitchen__noise__indoor__kitchen/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__kitchen__noise__indoor__kitchen""}"
70,anode__laundry__noise__indoor__laundry,laundry_noise,Detail,Laundry Noise,Laundry,Noise,Indoor,Laundry,haas/sensor/config/sensor/anode/anode__laundry__noise__indoor__laundry/config,"{""unit_of_measurement"": ""dB"", ""qos"": 1, ""name"": ""Laundry Noise"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__laundry__noise__indoor__laundry/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__laundry__noise__indoor__laundry""}"
71,anode__office__noise__indoor__office,office_noise,Detail,Office Noise,Office,Noise,Indoor,Office,haas/sensor/config/sensor/anode/anode__office__noise__indoor__office/config,"{""unit_of_measurement"": ""dB"", ""qos"": 1, ""name"": ""Office Noise"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__office__noise__indoor__office/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__office__noise__indoor__office""}"
