Index ID,Unique ID,Entity ID,Entity Filter,Entity Name,Entity Friendly Name,Entity Domain,Entity Group,Entity Location,Entity Topic
12,anode__roof__temperature__outdoor__roof,roof_temperature,Detail,Roof Temperature,Roof,Temperature,Outdoor,Roof,haas/sensor/config/sensor/anode/anode__roof__temperature__outdoor__roof/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Roof Temperature"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__roof__temperature__outdoor__roof/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__roof__temperature__outdoor__roof""}"
13,anode__utility__temperature__indoor__utility,utility_temperature,Detail,Utility Temperature,Utility,Temperature,Indoor,Utility,haas/sensor/config/sensor/anode/anode__utility__temperature__indoor__utility/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Utility Temperature"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__utility__temperature__indoor__utility/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__utility__temperature__indoor__utility""}"
14,anode__ada__carbon_Ddioxide__indoor__ada,ada_carbon_dioxide,Detail,Ada Carbon Dioxide,Ada,Carbon Dioxide,Indoor,Ada,haas/sensor/config/sensor/anode/anode__ada__carbon_Ddioxide__indoor__ada/config,"{""unit_of_measurement"": ""ppm"", ""qos"": 1, ""name"": ""Ada Carbon Dioxide"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ada__carbon_Ddioxide__indoor__ada/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ada__carbon_Ddioxide__indoor__ada""}"
15,anode__dining__carbon_Ddioxide__indoor__dining,dining_carbon_dioxide,Detail,Dining Carbon Dioxide,Dining,Carbon Dioxide,Indoor,Dining,haas/sensor/config/sensor/anode/anode__dining__carbon_Ddioxide__indoor__dining/config,"{""unit_of_measurement"": ""ppm"", ""qos"": 1, ""name"": ""Dining Carbon Dioxide"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__dining__carbon_Ddioxide__indoor__dining/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__dining__carbon_Ddioxide__indoor__dining""}"
16,anode__edwin__carbon_Ddioxide__indoor__edwin,edwin_carbon_dioxide,Detail,Edwin Carbon Dioxide,Edwin,Carbon Dioxide,Indoor,Edwin,haas/sensor/config/sensor/anode/anode__edwin__carbon_Ddioxide__indoor__edwin/config,"{""unit_of_measurement"": ""ppm"", ""qos"": 1, ""name"": ""Edwin Carbon Dioxide"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__edwin__carbon_Ddioxide__indoor__edwin/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__edwin__carbon_Ddioxide__indoor__edwin""}"
17,anode__kitchen__carbon_Ddioxide__indoor__kitchen,kitchen_carbon_dioxide,Detail,Kitchen Carbon Dioxide,Kitchen,Carbon Dioxide,Indoor,Kitchen,haas/sensor/config/sensor/anode/anode__kitchen__carbon_Ddioxide__indoor__kitchen/config,"{""unit_of_measurement"": ""ppm"", ""qos"": 1, ""name"": ""Kitchen Carbon Dioxide"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__kitchen__carbon_Ddioxide__indoor__kitchen/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__kitchen__carbon_Ddioxide__indoor__kitchen""}"
18,anode__laundry__carbon_Ddioxide__indoor__laundry,laundry_carbon_dioxide,Detail,Laundry Carbon Dioxide,Laundry,Carbon Dioxide,Indoor,Laundry,haas/sensor/config/sensor/anode/anode__laundry__carbon_Ddioxide__indoor__laundry/config,"{""unit_of_measurement"": ""ppm"", ""qos"": 1, ""name"": ""Laundry Carbon Dioxide"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__laundry__carbon_Ddioxide__indoor__laundry/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__laundry__carbon_Ddioxide__indoor__laundry""}"
19,anode__lounge__carbon_Ddioxide__indoor__lounge,lounge_carbon_dioxide,Detail,Lounge Carbon Dioxide,Lounge,Carbon Dioxide,Indoor,Lounge,haas/sensor/config/sensor/anode/anode__lounge__carbon_Ddioxide__indoor__lounge/config,"{""unit_of_measurement"": ""ppm"", ""qos"": 1, ""name"": ""Lounge Carbon Dioxide"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__lounge__carbon_Ddioxide__indoor__lounge/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__lounge__carbon_Ddioxide__indoor__lounge""}"
20,anode__office__carbon_Ddioxide__indoor__office,office_carbon_dioxide,Detail,Office Carbon Dioxide,Office,Carbon Dioxide,Indoor,Office,haas/sensor/config/sensor/anode/anode__office__carbon_Ddioxide__indoor__office/config,"{""unit_of_measurement"": ""ppm"", ""qos"": 1, ""name"": ""Office Carbon Dioxide"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__office__carbon_Ddioxide__indoor__office/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__office__carbon_Ddioxide__indoor__office""}"
21,anode__pantry__carbon_Ddioxide__indoor__pantry,pantry_carbon_dioxide,Detail,Pantry Carbon Dioxide,Pantry,Carbon Dioxide,Indoor,Pantry,haas/sensor/config/sensor/anode/anode__pantry__carbon_Ddioxide__indoor__pantry/config,"{""unit_of_measurement"": ""ppm"", ""qos"": 1, ""name"": ""Pantry Carbon Dioxide"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__pantry__carbon_Ddioxide__indoor__pantry/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__pantry__carbon_Ddioxide__indoor__pantry""}"
